name,url,description,stars,forks,open_issues
quarto-cli,https://github.com/quarto-dev/quarto-cli,Open-source scientific and technical publishing system built on Pandoc.,1900,153,662
quarto-web,https://github.com/quarto-dev/quarto-web,Quarto website,132,331,27
quarto-vscode,https://github.com/quarto-dev/quarto-vscode,Quarto extension for VS Code,109,12,0
quarto-r,https://github.com/quarto-dev/quarto-r,R interface to quarto-cli,96,11,21
quarto-actions,https://github.com/quarto-dev/quarto-actions,NA,94,24,22
quarto-emacs,https://github.com/quarto-dev/quarto-emacs,An emacs mode for quarto: https://quarto.org,73,9,5
quarto-nvim,https://github.com/quarto-dev/quarto-nvim,Quarto mode for Neovim,64,1,3
shinylive,https://github.com/quarto-ext/shinylive,Quarto extension to embed Shinylive for Python applications,49,1,4
quarto-vim,https://github.com/quarto-dev/quarto-vim,Rmarkdown support for vim,48,12,6
fontawesome,https://github.com/quarto-ext/fontawesome,Use Font Awesome icons in HTML and PDF documents.,40,7,3
lightbox,https://github.com/quarto-ext/lightbox,Create lightbox treatments for images in your HTML documents.,39,2,5
quarto,https://github.com/quarto-dev/quarto,Quarto open-source scientific and technical publishing system,38,2,31
article-format-template,https://github.com/quarto-journals/article-format-template,Template for creating a new journal article format for Quarto ,33,4,7
quarto-gallery,https://github.com/quarto-dev/quarto-gallery,NA,23,18,0
elsevier,https://github.com/quarto-journals/elsevier,Quarto template for Elsevier Journals,19,6,3
quarto-julia,https://github.com/quarto-dev/quarto-julia,Julia interface to quarto-cli,16,0,6
pointer,https://github.com/quarto-ext/pointer,A very simple RevealJS plugin extension that adds support for switching the cursor to a 'pointer' style element while presenting.,13,4,0
include-code-files,https://github.com/quarto-ext/include-code-files,NA,13,1,3
jss,https://github.com/quarto-journals/jss,Quarto template for the Journal of Statistical Software,13,2,3
latex-environment,https://github.com/quarto-ext/latex-environment,Quarto extension to output custom LaTeX environments.,12,4,1
attribution,https://github.com/quarto-ext/attribution,Display attribution text sideways along the right edge of Revealjs slides.,11,0,1
netlify-plugin-quarto,https://github.com/quarto-dev/netlify-plugin-quarto,NA,9,2,5
quarto-sublime,https://github.com/quarto-dev/quarto-sublime,NA,9,1,1
quarto-python,https://github.com/quarto-dev/quarto-python,Python interface to quarto-cli,9,0,0
quarto-shortcodes,https://github.com/quarto-dev/quarto-shortcodes,NA,8,2,2
plos,https://github.com/quarto-journals/plos,Quarto template for Public Library of Science,8,1,10
quarto-examples,https://github.com/quarto-dev/quarto-examples,A repository of self-contained quarto examples,6,0,1
jasa,https://github.com/quarto-journals/jasa,Quarto template for the American Statistical Association Journals,6,3,0
acm,https://github.com/quarto-journals/acm,Quarto template for the Association of Computing Machinery,4,5,7
gridtables,https://github.com/quarto-dev/gridtables,Haskell parser for reStructuredText-style grid tables.,2,0,4
example-project-quarto-netlify-plugin,https://github.com/quarto-dev/example-project-quarto-netlify-plugin,A minimal Quarto project using Quarto's Netlify plugin,2,0,0
quarto-ojs-runtime,https://github.com/quarto-dev/quarto-ojs-runtime,A runtime for quarto's support of ObservableHQ's reactive Javascript,2,1,2
acs,https://github.com/quarto-journals/acs,Quarto template for the American Chemical Society,2,0,0
quarto-release-bundles,https://github.com/quarto-dev/quarto-release-bundles,Chocolatey package for Quarto,1,0,1
fancy-text,https://github.com/quarto-ext/fancy-text,Output nicely formatted versions of fancy strings such as LaTeX and BibTeX in multiple formats.,1,1,0
biophysical-journal,https://github.com/quarto-journals/biophysical-journal,Quarto template for Biophysical journal,1,1,0
quarto-repo-template,https://github.com/quarto-dev/quarto-repo-template,"Repository template with readme styling, issue templates, etc",0,0,0
Quarto-Pub,https://github.com/quarto-dev/Quarto-Pub,Quarto Pub,0,0,2
quarto-pub-subdomain-site,https://github.com/quarto-dev/quarto-pub-subdomain-site,The [subdomain].quarto.pub website,0,0,0
external-asg017-unofficial-observablehq-compiler,https://github.com/quarto-dev/external-asg017-unofficial-observablehq-compiler,A fork of @asg017's unofficial compiler for Observable notebook syntax,0,0,0
external-kpdecker-jsdiff,https://github.com/quarto-dev/external-kpdecker-jsdiff,A javascript text differencing implementation.,0,0,0
external-mermaid-js-mermaid,https://github.com/quarto-dev/external-mermaid-js-mermaid,Generation of diagram and flowchart from text in a similar manner as markdown,0,0,0
external-observablehq-runtime,https://github.com/quarto-dev/external-observablehq-runtime,A fork of the Observable dataflow runtime.,0,0,0
external-observablehq-stdlib,https://github.com/quarto-dev/external-observablehq-stdlib,A fork of ObservableHQ's Observable standard library.,0,0,0
external-d3-d3-require,https://github.com/quarto-dev/external-d3-d3-require,"A minimal, promise-based implementation to require asynchronous module definitions.",0,0,0
external-observablehq-parser,https://github.com/quarto-dev/external-observablehq-parser,The Observable parser.,0,0,0
vscode-mermaid-syntax-highlight,https://github.com/quarto-dev/vscode-mermaid-syntax-highlight,Markdown syntax support for the Mermaid charting language,0,0,0
package_control_channel,https://github.com/quarto-dev/package_control_channel,Default channel file for Package Control. Follow the directions at:,0,0,0
vscode-markdown-tm-grammar,https://github.com/quarto-dev/vscode-markdown-tm-grammar,VS Code built-in markdown extension's Textmate grammar,0,0,0
.github,https://github.com/quarto-ext/.github,Organization profile README source,0,0,0
.github,https://github.com/quarto-journals/.github,NA,0,2,1
