name,url,description,stars,forks,open_issues
quarto-cli,https://github.com/quarto-dev/quarto-cli,Open-source scientific and technical publishing system built on Pandoc.,1141,88,374
quarto-vscode,https://github.com/quarto-dev/quarto-vscode,Quarto extension for VS Code,82,7,30
quarto-web,https://github.com/quarto-dev/quarto-web,Quarto website,81,156,18
quarto-r,https://github.com/quarto-dev/quarto-r,R interface to quarto-cli,76,8,31
quarto-actions,https://github.com/quarto-dev/quarto-actions,NA,46,13,16
quarto-emacs,https://github.com/quarto-dev/quarto-emacs,An emacs mode for quarto: https://quarto.org,43,5,2
quarto-vim,https://github.com/quarto-dev/quarto-vim,Rmarkdown support for vim,36,9,7
quarto-gallery,https://github.com/quarto-dev/quarto-gallery,NA,14,11,0
quarto-nvim,https://github.com/quarto-dev/quarto-nvim,Quarto mode for Neovim,12,0,3
quarto-julia,https://github.com/quarto-dev/quarto-julia,Julia interface to quarto-cli,9,0,5
quarto-shortcodes,https://github.com/quarto-dev/quarto-shortcodes,NA,8,1,2
quarto-python,https://github.com/quarto-dev/quarto-python,Python interface to quarto-cli,7,0,0
netlify-plugin-quarto,https://github.com/quarto-dev/netlify-plugin-quarto,NA,5,0,1
quarto-sublime,https://github.com/quarto-dev/quarto-sublime,NA,5,0,0
quarto-docusaurus,https://github.com/quarto-dev/quarto-docusaurus,NA,3,0,1
example-project-quarto-netlify-plugin,https://github.com/quarto-dev/example-project-quarto-netlify-plugin,A minimal Quarto project using Quarto's Netlify plugin,2,0,0
quarto-ojs-runtime,https://github.com/quarto-dev/quarto-ojs-runtime,A runtime for quarto's support of ObservableHQ's reactive Javascript,2,0,0
quarto-choco-bundle,https://github.com/quarto-dev/quarto-choco-bundle,Chocolatey package for Quarto,1,0,0
quarto-repo-template,https://github.com/quarto-dev/quarto-repo-template,"Repository template with readme styling, issue templates, etc",0,0,0
Quarto-Pub,https://github.com/quarto-dev/Quarto-Pub,Quarto Pub,0,0,0
quarto-pub-subdomain-site,https://github.com/quarto-dev/quarto-pub-subdomain-site,The [subdomain].quarto.pub website,0,0,0
external-asg017-unofficial-observablehq-compiler,https://github.com/quarto-dev/external-asg017-unofficial-observablehq-compiler,A fork of @asg017's unofficial compiler for Observable notebook syntax,0,0,0
external-kpdecker-jsdiff,https://github.com/quarto-dev/external-kpdecker-jsdiff,A javascript text differencing implementation.,0,0,0
external-mermaid-js-mermaid,https://github.com/quarto-dev/external-mermaid-js-mermaid,Generation of diagram and flowchart from text in a similar manner as markdown,0,0,0
external-observablehq-runtime,https://github.com/quarto-dev/external-observablehq-runtime,A fork of the Observable dataflow runtime.,0,0,0
external-observablehq-stdlib,https://github.com/quarto-dev/external-observablehq-stdlib,A fork of ObservableHQ's Observable standard library.,0,0,0
external-d3-d3-require,https://github.com/quarto-dev/external-d3-d3-require,"A minimal, promise-based implementation to require asynchronous module definitions.",0,0,0
external-observablehq-parser,https://github.com/quarto-dev/external-observablehq-parser,The Observable parser.,0,0,0
vscode-mermaid-syntax-highlight,https://github.com/quarto-dev/vscode-mermaid-syntax-highlight,Markdown syntax support for the Mermaid charting language,0,0,0
package_control_channel,https://github.com/quarto-dev/package_control_channel,Default channel file for Package Control. Follow the directions at:,0,0,0
vscode-markdown-tm-grammar,https://github.com/quarto-dev/vscode-markdown-tm-grammar,VS Code built-in markdown extension's Textmate grammar,0,0,0
